advice_episode,start_step,end_step,episode_length,llm_advice,advice_category,llm_priority,alignment_rate,followed_advice,first_action_matches,total_reward,avg_reward,final_sr,sr_change,hp_start,hp_end,hp_change,level_ups,hp_at_advice,reward_before,sr_before,critical_hp_at_start,level_at_start,most_common_action,unique_actions
367,645,645,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,385.7,385.7,207.1,0,178.6,0.0,0.011,0,14,item_use,1
368,645,645,2,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.005,-0.02,-0.031,620.0,100.0,-285.7,0,385.7,-0.01,-0.01,0,14,movement,2
369,650,650,2,Search for items and potential threats,survival,,0.0,0,False,0.0,0.0,-0.001,-0.002,206.7,166.7,66.69999999999999,1,100.0,-0.01,-0.02,0,12,movement,2
370,650,650,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,385.7,385.7,219.0,0,166.7,0.0,-0.001,0,14,equipment,1
371,650,655,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.0075,-0.01,-0.02,187.5,177.8,-207.89999999999998,2,385.7,-0.01,-0.01,0,16,movement,4
372,655,655,1,Eat something to recover health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,385.7,385.7,207.89999999999998,0,177.8,-0.01,-0.01,0,14,exploration,1
373,655,655,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,182.4,640.0,254.30000000000004,1,385.7,-0.01,-0.02,0,16,equipment,2
374,660,660,4,Eat something to regain health,survival,,0.0,0,False,-0.03,-0.0075,-0.02,-0.01,182.4,640.0,0.0,2,640.0,-0.01,-0.01,0,16,item_use,4
375,660,660,1,Eat something to recover health,survival,,0.0,0,False,0.0,0.0,0.011,0.0,360.0,360.0,-280.0,0,640.0,-0.01,-0.02,0,14,movement,1
376,665,665,3,Eat something to regain health,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.01,182.4,111.1,-248.89999999999998,1,360.0,0.0,0.011,0,16,movement,3
377,665,665,1,Explore the area and search for items,exploration,,0.0,0,False,0.0,0.0,0.003,0.0,407.1,407.1,296.0,0,111.1,-0.01,-0.01,0,14,inventory,1
378,665,665,1,Explore the surroundings to gather more information,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,228.6,228.6,-178.50000000000003,0,407.1,0.0,0.003,0,12,movement,1
379,670,670,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,640.0,640.0,411.4,1,228.6,-0.01,-0.01,0,14,movement,1
380,670,670,1,Explore the area and search for items,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,407.1,407.1,-232.89999999999998,0,640.0,-0.01,-0.02,0,14,movement,1
381,670,675,6,Search the area for items and clues,exploration,,0.0,0,False,-0.060000000000000005,-0.01,-0.011,-0.0009999999999999992,228.6,158.8,-248.30000000000004,2,407.1,-0.01,-0.01,0,12,interaction,5
382,675,675,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,-0.002,0.0,423.1,423.1,264.3,1,158.8,-0.01,-0.011,0,14,item_use,1
383,675,675,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,111.1,111.1,-312.0,0,423.1,0.0,-0.002,0,14,interaction,1
384,680,680,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.005,0.0,463.6,463.6,352.5,0,111.1,-0.01,-0.02,0,14,inventory,1
385,680,680,4,Search the area for items and clues,exploration,,0.0,0,False,-0.03,-0.0075,-0.01,0.0,246.2,1333.3,869.6999999999999,2,463.6,0.0,0.005,0,16,inventory,4
386,685,685,1,Search the area for potential threats and valuable items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,463.6,463.6,-869.6999999999999,0,1333.3,-0.01,-0.01,0,14,equipment,1
387,685,685,4,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.016,0.021,180.0,1533.3,1069.6999999999998,2,463.6,-0.01,-0.01,0,14,equipment,4
388,690,690,3,Search the area for items and clues,exploration,,0.0,0,False,-0.02,-0.006666666666666667,0.007,0.008,193.8,320.0,-1213.3,1,1533.3,0.0,0.016,0,16,inventory,3
389,690,690,1,Search the area for potential threats and valuable items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,463.6,463.6,143.60000000000002,0,320.0,0.0,0.007,0,14,movement,1
390,690,695,5,Search the area for potential items and clues,exploration,,0.0,0,False,-0.04,-0.008,-0.003,0.007,186.7,223.1,-240.50000000000014,2,463.6,-0.01,-0.01,0,12,equipment,5
391,695,695,1,Search the area for potential threats and valuable items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,472.7,472.7,249.6,0,223.1,0.0,-0.003,0,14,combat,1
392,700,700,3,Explore the area to gather more information,exploration,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,0.0,193.3,133.3,-339.4,1,472.7,-0.01,-0.01,0,12,combat,3
393,700,700,1,Search the area for potential threats and valuable items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,481.8,481.8,348.5,0,133.3,-0.01,-0.01,0,14,other,1
394,700,705,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.0075,-0.01,0.0,875.0,485.7,3.900000000000034,1,481.8,-0.01,-0.01,0,14,interaction,4
395,705,705,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,481.8,481.8,-3.8999999999999773,0,485.7,-0.01,-0.01,0,14,interaction,1
396,705,705,1,Search for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.01,0.0,129.4,129.4,-352.4,1,481.8,-0.01,-0.01,0,16,exploration,1
397,710,710,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,485.7,485.7,356.29999999999995,0,129.4,0.0,0.01,0,14,exploration,1
398,710,710,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,510.0,510.0,24.30000000000001,0,485.7,-0.01,-0.01,0,14,inventory,1
399,710,715,7,Search the area for potential items and clues,exploration,,0.0,0,False,-0.02,-0.002857142857142857,-0.02,-0.015,158.8,485.7,-24.30000000000001,3,510.0,-0.01,-0.01,0,12,movement,6
400,715,720,2,Search the area for items and clues,exploration,,0.0,0,False,-0.02,-0.01,-0.01,0.0,472.7,472.7,-13.0,0,485.7,-0.01,-0.02,0,14,interaction,2
401,720,725,5,Search the area for potential items and clues,exploration,,0.0,0,False,-0.03,-0.006,-0.01,-0.006,100.0,228.6,-244.0999999999999,1,472.7,-0.01,-0.01,0,14,interaction,4
402,725,725,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,481.8,481.8,253.20000000000002,1,228.6,-0.01,-0.01,0,14,interaction,1
403,725,725,3,Search the area for potential items and clues,exploration,,0.0,0,False,-0.01,-0.0033333333333333335,-0.01,-0.013000000000000001,200.0,700.0,218.2,1,481.8,-0.01,-0.01,0,14,movement,3
404,730,730,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,481.8,481.8,-218.2,0,700.0,-0.01,-0.01,0,14,combat,1
405,730,730,4,Search the area for items and potential threats,survival,,0.0,0,False,-0.04,-0.01,-0.01,0.0,200.0,228.6,-253.19999999999993,1,481.8,-0.01,-0.01,0,16,movement,4
406,735,735,1,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,490.9,490.9,262.29999999999995,1,228.6,-0.01,-0.01,0,14,exploration,1
407,735,735,4,Search the area for items and potential threats,survival,,0.0,0,False,-0.04,-0.01,-0.02,-0.01,182.4,228.6,-262.29999999999995,1,490.9,-0.01,-0.01,0,16,movement,4
408,740,740,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,0.0,182.4,112.5,-116.09999999999997,1,228.6,-0.01,-0.02,0,16,movement,3
409,740,740,1,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,490.9,490.9,378.4,0,112.5,-0.01,-0.01,0,14,movement,1
410,740,745,5,Search the area for potential items and threats,survival,,0.0,0,False,-0.04,-0.008,-0.01,-0.012,425.0,112.5,-378.40000000000003,2,490.9,-0.01,-0.01,0,12,inventory,5
411,745,750,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.01,490.9,481.8,369.3,0,112.5,-0.01,-0.01,0,14,combat,2
412,750,755,7,Search the area to gather more information and potentially find items,exploration,,0.0,0,False,-0.05,-0.0071428571428571435,-0.009,-0.015,207.7,223.1,-258.70000000000005,3,481.8,-0.01,-0.01,0,16,item_use,7
413,755,755,1,Search the stairs_down northeast for potential items or clues,exploration,,0.0,0,False,3.0,3.0,3.01,0.0,683.3,683.3,460.19999999999993,0,223.1,-0.01,-0.009,0,14,inventory,1
414,755,755,1,Search the area for potential threats and valuable items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,320.0,320.0,-363.29999999999995,0,683.3,3.0,3.01,0,12,equipment,1
415,760,760,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,880.0,152.9,-167.10000000000002,2,320.0,-0.01,-0.01,0,14,equipment,2
416,760,760,1,Search the stairs_down northeast for potential items or clues,exploration,,0.0,0,False,0.0,0.0,0.001,0.0,683.3,683.3,530.4,0,152.9,-0.01,-0.01,0,14,movement,1
417,760,765,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.0,240.0,1533.3,850.0,1,683.3,0.0,0.001,0,14,movement,3
418,765,765,1,Explore the stairs down northeast for potential treasure and experience,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,820.0,820.0,-713.3,0,1533.3,-0.01,-0.01,0,14,other,1
419,765,765,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.0033333333333333335,0.011,0.020999999999999998,240.0,228.6,-591.4,1,820.0,-0.01,-0.01,0,14,movement,3
420,770,770,4,Search the area for items and clues,exploration,,0.0,0,False,-0.04,-0.01,-0.01,0.0,183.3,925.0,696.4,2,228.6,0.0,0.011,0,14,equipment,4
421,770,770,1,Explore the stairs down northeast for potential treasure and experience,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,820.0,820.0,-105.0,0,925.0,-0.01,-0.01,0,14,item_use,1
422,775,775,2,Search the area for items and clues,exploration,,0.0,0,False,0.0,0.0,-0.005,-0.005,122.2,129.4,-690.5999999999999,1,820.0,-0.01,-0.01,0,14,equipment,2
423,775,775,1,Eat something to regain health,survival,,0.0,0,False,0.0,0.0,-0.01,0.0,820.0,820.0,690.6,0,129.4,0.0,-0.005,0,14,movement,1
424,775,775,2,Search the area for potential items or clues,exploration,,0.0,0,False,-0.01,-0.005,-0.01,-0.02,1233.3,228.6,-591.4,0,820.0,0.0,-0.01,0,14,equipment,2
425,780,780,4,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.0025,0.0,-0.001,950.0,129.4,-99.19999999999996,2,228.6,-0.01,-0.01,0,14,movement,4
426,780,780,1,Eat something to regain health,survival,,0.0,0,False,0.0,0.0,0.0,0.0,820.0,820.0,690.6,0,129.4,0.0,0.0,0,14,movement,1
427,785,785,1,Descend the stairs to explore new areas and potentially find items or experience,exploration,,0.0,0,False,0.0,0.0,0.009,0.0,2000.0,2000.0,1180.0,0,820.0,0.0,0.0,0,14,other,1
428,785,785,4,Search the area for items and clues,exploration,,0.0,0,False,-0.03,-0.0075,0.0,0.01,320.0,200.0,-1800.0,2,2000.0,0.0,0.009,0,12,movement,4
429,790,790,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,0.0,1233.3,150.0,-50.00000000000006,1,200.0,0.0,0.0,0,14,equipment,3
430,790,790,1,Descend the stairs to explore new areas and potentially find items or experience,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,2050.0,2050.0,1900.0,0,150.0,-0.01,-0.01,0,14,movement,1
431,790,795,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.006666666666666667,0.0,0.01,290.9,925.0,-1124.9999999999998,1,2050.0,-0.01,-0.01,0,12,movement,3
432,795,795,1,Investigate the stairs down northeast,other,,0.0,0,False,0.0,0.0,0.0,0.0,455.6,455.6,-469.4,0,925.0,0.0,0.0,0,14,exploration,1
433,795,795,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,214.3,377.8,-77.80000000000001,0,455.6,0.0,0.0,0,14,combat,2
434,800,800,3,Eat to restore health,survival,,0.0,0,False,-0.03,-0.01,-0.01,-0.0010000000000000009,266.7,135.3,-242.5,2,377.8,-0.01,-0.01,0,14,interaction,3
435,800,800,1,Investigate the stairs down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,512.5,512.5,377.2,0,135.3,-0.01,-0.01,0,14,other,1
436,800,805,5,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.004,-0.01,-0.012,1300.0,266.7,-245.80000000000004,2,512.5,-0.01,-0.01,0,14,movement,5
437,805,805,1,Search the stairs_down northeast for potential items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,455.6,455.6,188.90000000000003,0,266.7,-0.01,-0.01,0,14,item_use,1
438,810,810,4,Eat something to regain health,survival,,0.0,0,False,-0.03,-0.0075,0.0,0.01,266.7,940.0,484.4,1,455.6,-0.01,-0.01,0,14,item_use,2
439,810,810,1,Search the stairs_down northeast for potential items and clues,exploration,,0.0,0,False,0.0,0.0,0.01,0.0,410.0,410.0,-530.0,0,940.0,0.0,0.0,0,14,movement,1
440,815,815,1,Explore the stairs_down northeast to gain more information and potentially find items,exploration,,0.0,0,False,0.0,0.0,0.0,0.0,466.7,466.7,56.69999999999999,0,410.0,0.0,0.01,0,14,combat,1
441,815,815,4,Eat something to regain health,survival,,0.0,0,False,-0.04,-0.01,-0.01,0.0,320.0,940.0,473.30000000000007,1,466.7,0.0,0.0,0,14,interaction,4
442,820,820,4,Search the area for potential items and clues,exploration,,0.0,0,False,-0.04,-0.01,-0.02,-0.01,320.0,129.4,-810.6,2,940.0,-0.01,-0.01,0,14,movement,4
443,820,820,1,Explore the stairs_down northeast to gain more information and potentially find items,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,466.7,466.7,337.29999999999995,0,129.4,-0.01,-0.02,0,14,movement,1
444,825,825,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,228.6,129.4,-337.29999999999995,1,466.7,-0.01,-0.01,0,12,movement,2
445,825,825,1,Search the stairs_down northeast for potential items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,438.5,438.5,309.1,0,129.4,-0.01,-0.02,0,14,interaction,1
446,825,825,2,Search the area for potential items and clues,exploration,,0.0,0,False,-0.01,-0.005,0.017,0.037000000000000005,320.0,1350.0,911.5,0,438.5,-0.01,-0.01,0,14,inventory,2
447,830,830,3,Search the area for potential items and clues,exploration,,0.0,0,False,-0.03,-0.01,-0.02,-0.01,1000.0,129.4,-1220.6,1,1350.0,0.0,0.017,0,14,equipment,3
448,830,830,1,Search the stairs_down northeast for potential items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,438.5,438.5,309.1,0,129.4,-0.01,-0.02,0,14,movement,1
449,830,835,2,Explore the area to gather more information,exploration,,0.0,0,False,-0.02,-0.01,-0.01,0.0,283.3,1000.0,561.5,0,438.5,-0.01,-0.01,0,14,item_use,2
450,835,835,1,Search the stairs_down for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,438.5,438.5,-561.5,0,1000.0,-0.01,-0.01,0,14,movement,1
451,835,835,3,Explore the area to gather more information,exploration,,0.0,0,False,-0.03,-0.01,-0.01,0.0,283.3,182.4,-256.1,1,438.5,-0.01,-0.02,0,14,movement,3
452,840,840,1,Search the stairs_down for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,392.9,392.9,210.49999999999997,1,182.4,-0.01,-0.01,0,14,equipment,1
453,840,845,8,Search the area for potential items or clues,exploration,,0.0,0,False,-0.06,-0.0075,-0.011,-0.009999999999999998,228.6,164.7,-228.2000000000001,3,392.9,-0.01,-0.01,0,14,movement,8
454,845,845,1,Investigate the stairs_down northeast,other,,0.0,0,False,-0.01,-0.01,-0.009,0.0,423.1,423.1,258.40000000000003,1,164.7,-0.01,-0.011,0,14,movement,1
455,850,850,4,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.005,-0.01,0.0009999999999999992,164.7,383.3,-39.80000000000018,2,423.1,-0.01,-0.009,0,12,item_use,3
456,850,850,1,Investigate the stairs_down northeast,other,,0.0,0,False,0.0,0.0,0.001,0.0,466.7,466.7,83.39999999999998,0,383.3,-0.01,-0.01,0,14,movement,1
457,855,855,4,Search the area for items and clues,exploration,,0.0,0,False,-0.03,-0.0075,-0.01,0.0,141.2,383.3,-83.39999999999998,2,466.7,0.0,0.001,0,16,combat,4
458,855,860,2,Explore the stairs down northeast to gain experience and potentially find items,exploration,,0.0,0,False,-0.01,-0.005,-0.01,-0.020999999999999998,420.0,455.6,72.30000000000001,0,383.3,-0.01,-0.01,0,14,item_use,2
459,860,860,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.005,-0.001,-0.001,940.0,143.8,-311.80000000000007,2,455.6,-0.01,-0.01,0,14,interaction,3
460,865,865,1,Search the stairs_down northeast for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,410.0,410.0,266.2,0,143.8,0.0,-0.001,0,14,interaction,1
461,865,865,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.0075,-0.01,0.0,342.9,960.0,550.0,1,410.0,-0.01,-0.01,0,14,equipment,4
462,870,870,1,Search the stairs_down northeast for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,455.6,455.6,-504.4,0,960.0,-0.01,-0.01,0,14,movement,1
463,870,875,5,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.006,-0.011,-0.012,1080.0,250.0,-205.60000000000002,1,455.6,-0.01,-0.01,0,14,movement,5
464,875,875,1,Explore the stairs down northeast,exploration,,0.0,0,False,0.0,0.0,0.001,0.0,716.7,716.7,466.70000000000005,0,250.0,-0.01,-0.011,0,14,combat,1
465,875,875,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.0,1350.0,182.4,-534.3000000000001,1,716.7,0.0,0.001,0,14,exploration,3
466,880,880,1,Explore the stairs down northeast,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,537.5,537.5,355.1,1,182.4,-0.01,-0.01,0,14,movement,1
467,880,885,7,Search the area for potential threats and items,survival,,0.0,0,False,-0.05,-0.0071428571428571435,0.0,0.01,228.6,280.0,-257.50000000000006,2,537.5,-0.01,-0.01,0,12,item_use,7
468,885,885,1,Explore the stairs down northeast,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1075.0,1075.0,795.0,0,280.0,0.0,0.0,0,14,other,1
469,885,885,1,Eat the tin to regain health,survival,,0.0,0,False,0.0,0.0,-0.01,0.0,193.8,193.8,-881.2,1,1075.0,-0.01,-0.01,0,16,equipment,1
470,890,890,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.001,0.009000000000000001,200.0,260.0,66.20000000000005,1,193.8,0.0,-0.01,0,12,movement,3
471,890,890,1,Explore the stairs down northeast,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1075.0,1075.0,815.0,0,260.0,0.0,-0.001,0,14,item_use,1
472,890,895,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.0033333333333333335,-0.01,-0.018000000000000002,188.2,193.3,-881.6999999999999,1,1075.0,-0.01,-0.01,0,16,inventory,3
473,895,895,1,Investigate the stairs_down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1700.0,1700.0,1506.7,1,193.3,-0.01,-0.01,0,14,equipment,1
474,895,895,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,1350.0,283.3,-1416.7,0,1700.0,-0.01,-0.01,0,14,interaction,2
475,900,900,1,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.009,0.0,180.0,180.0,-103.30000000000001,1,283.3,-0.01,-0.01,0,16,other,1
476,900,900,1,Investigate the stairs_down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1700.0,1700.0,1520.0,0,180.0,0.0,0.009,0,14,equipment,1
477,900,905,7,Search the area for potential threats and items,survival,,0.0,0,False,-0.060000000000000005,-0.008571428571428572,-0.01,0.0,383.3,383.3,-1316.7,3,1700.0,-0.01,-0.01,0,14,movement,7
478,905,905,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,1700.0,1700.0,1316.7,0,383.3,-0.01,-0.01,0,14,movement,1
479,910,910,1,Search the area for potential threats and valuable items,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,1350.0,1350.0,-350.0,0,1700.0,-0.01,-0.02,0,14,inventory,1
480,910,910,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1666.7,1666.7,316.70000000000005,0,1350.0,-0.01,-0.02,0,14,movement,1
481,910,915,4,Search the area for potential threats and hidden dangers,survival,,0.0,0,False,-0.01,-0.0025,0.001,0.012,300.0,960.0,-706.7000000000002,2,1666.7,-0.01,-0.01,0,14,inventory,4
482,915,915,1,Explore the stairs down northeast to gain experience and potentially find items,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1666.7,1666.7,706.7,0,960.0,0.0,0.001,0,14,movement,1
483,915,915,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.0,164.7,228.6,-1438.1000000000001,1,1666.7,-0.01,-0.01,0,16,equipment,3
484,920,920,1,Search the area for potential items and threats,survival,,0.0,0,False,0.0,0.0,0.0,0.0,228.6,228.6,0.0,0,228.6,-0.01,-0.01,0,12,combat,1
485,920,920,1,Explore the stairs down northeast to gain experience and potentially find items,exploration,,0.0,0,False,-0.01,-0.01,-0.02,0.0,1666.7,1666.7,1438.1000000000001,1,228.6,0.0,0.0,0,14,item_use,1
486,920,920,3,Search the area for items and clues,exploration,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,-0.009000000000000001,187.5,300.0,-1366.7,1,1666.7,-0.01,-0.02,0,16,combat,3
487,925,925,1,Investigate the stairs down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1700.0,1700.0,1400.0,0,300.0,-0.01,-0.01,0,14,inventory,1
488,925,925,4,Search the area for potential items and threats,survival,,0.0,0,False,-0.02,-0.005,-0.02,-0.017,170.6,300.0,-1400.0,1,1700.0,-0.01,-0.01,0,12,item_use,3
489,930,930,1,Investigate the stairs down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1100.0,1100.0,800.0,0,300.0,-0.01,-0.02,0,14,movement,1
490,930,935,5,Search the area for items and potential threats,survival,,0.0,0,False,-0.03,-0.006,-0.01,0.0,193.8,188.2,-911.8000000000002,2,1100.0,-0.01,-0.01,0,12,movement,5
491,935,935,1,Investigate the strange direction,movement,,0.0,0,False,-0.01,-0.01,0.001,0.0,1125.0,1125.0,936.8,0,188.2,-0.01,-0.01,0,14,movement,1
492,935,935,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,-0.009000000000000001,187.5,193.8,-931.2,0,1125.0,-0.01,0.001,0,14,movement,3
493,940,940,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.005,-0.01,-0.009000000000000001,162.5,1350.0,1156.2,1,193.8,-0.01,-0.01,0,14,movement,2
494,940,940,1,Investigate the strange direction,movement,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1500.0,1500.0,150.0,0,1350.0,-0.01,-0.01,0,14,inventory,1
495,940,945,3,Eat something to regain health,survival,,0.0,0,False,-0.03,-0.01,-0.02,0.0,193.8,193.8,-1306.2000000000003,1,1500.0,-0.01,-0.01,0,12,interaction,3
496,945,945,1,Investigate the stairs down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1500.0,1500.0,1306.2,1,193.8,-0.01,-0.02,0,14,inventory,1
497,945,945,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.0033333333333333335,0.012,0.022,155.6,220.0,-1280.0,1,1500.0,-0.01,-0.01,0,14,exploration,3
498,950,950,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,226.7,960.0,740.0,0,220.0,0.0,0.012,0,16,item_use,2
499,950,950,1,Investigate the stairs down northeast,other,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1500.0,1500.0,540.0,0,960.0,-0.01,-0.01,0,14,movement,1
500,950,955,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.03,-0.01,0.0,0.01,300.0,350.0,-1150.0,1,1500.0,-0.01,-0.01,0,14,interaction,3
501,955,955,1,Explore the stairs down northeast to gain more information and potentially find items,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,860.0,860.0,510.0,0,350.0,-0.01,0.0,0,14,movement,1
502,955,955,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.0009999999999999992,200.0,980.0,120.0,1,860.0,-0.01,-0.01,0,14,equipment,3
503,960,960,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,193.8,193.8,-786.2,0,980.0,-0.01,-0.01,0,12,equipment,1
504,960,960,1,Explore the stairs down northeast to gain more information and potentially find items,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1125.0,1125.0,931.2,1,193.8,-0.01,-0.02,0,14,movement,1
505,960,965,4,Search the area for potential items or clues,exploration,,0.0,0,False,-0.04,-0.01,-0.01,0.0,228.6,388.9,-736.1,2,1125.0,-0.01,-0.01,0,14,movement,4
506,965,965,1,Search the stairs_down northeast for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1125.0,1125.0,736.1,0,388.9,-0.01,-0.01,0,14,item_use,1
507,965,965,3,Eat something to regain health,survival,,0.0,0,False,-0.02,-0.006666666666666667,0.0,0.01,181.2,250.0,-875.0,1,1125.0,-0.01,-0.01,0,12,equipment,3
508,970,970,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.02,0.0,980.0,388.9,138.90000000000003,1,250.0,0.0,0.0,0,14,movement,2
509,970,970,1,Search the stairs_down northeast for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,1125.0,1125.0,736.1,0,388.9,-0.01,-0.02,0,14,item_use,1
510,970,975,2,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.005,-0.01,0.0,182.4,980.0,-145.0,1,1125.0,-0.01,-0.02,0,12,equipment,2
511,975,975,1,Explore the stairs down northeast,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1700.0,1700.0,720.0,0,980.0,0.0,-0.01,0,14,movement,1
512,975,975,3,Search for items and potential threats,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,0.0,175.0,388.9,-1311.1,1,1700.0,-0.01,-0.01,0,14,combat,3
513,980,980,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,170.6,170.6,-218.29999999999998,0,388.9,0.0,-0.01,0,12,item_use,1
514,980,980,1,Explore the stairs down northeast,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1100.0,1100.0,929.4,1,170.6,-0.01,-0.01,0,14,item_use,1
